decided about,has,has decided,jury,much,of deciding,pos-1_VBZ,pos2_NNS,prizes,ways
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0,0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
