at,away,began,eat away,eat up,pos1_RB,pos1_RP,sword,up,vitality
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,0.0,1,0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0,1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
